feature-1,feature-2,|r|,ng,r_value,fdr_p_value,raw_p_value
Lachnospiraceae gen. AF15-21,Lachnospiraceae gen. AF20-18LB,0.74954,pos,0.74954,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospiraceae gen. AF34-16,0.509,pos,0.509,0,0
Acetatifactor sp. AF34-10BH,Lachnospiraceae gen. AF34-16,0.49002,pos,0.49002,0,0
Acetatifactor sp. TM11-1A,Lachnospiraceae gen. AF34-16,0.5196,pos,0.5196,0,0
Agathobacter faecis 21673_4_84,Lachnospiraceae gen. AF34-16,0.39181,pos,0.39181,0,0
Agathobacter faecis GCA_001405615,Lachnospiraceae gen. AF34-16,0.42346,pos,0.42346,0,0
Agathobacter faecis GCA_015550045,Lachnospiraceae gen. AF34-16,0.41159,pos,0.41159,0,0
Agathobacter rectalis AF17-27,Lachnospiraceae gen. AF34-16,0.43193,pos,0.43193,0,0
Agathobacter rectalis GCA_001406835,Lachnospiraceae gen. AF34-16,0.34845,pos,0.34845,0,0
Agathobacter rectalis GCA_013303775,Lachnospiraceae gen. AF34-16,0.3101,pos,0.3101,0,0
Agathobacter rectalis GCA_015557515,Lachnospiraceae gen. AF34-16,0.36194,pos,0.36194,0,0
Agathobacter rectalis GCA_018784685,Lachnospiraceae gen. AF34-16,0.34573,pos,0.34573,0,0
Agathobacter rectalis TM10-3,Lachnospiraceae gen. AF34-16,0.32255,pos,0.32255,0,0
Agathobacter sp. 20427_4_23,Lachnospiraceae gen. AF34-16,0.62619,pos,0.62619,0,0
Bariatricus comes GCA_013301565,Lachnospiraceae gen. AF34-16,0.35211,pos,0.35211,0,0
Butyribacter intestini AF81-08TA,Lachnospiraceae gen. AF34-16,0.40102,pos,0.40102,0,0
Butyribacter sp. AM49-4BH,Lachnospiraceae gen. AF34-16,0.43753,pos,0.43753,0,0
Butyribacter sp. AM53-13BH,Lachnospiraceae gen. AF34-16,0.42615,pos,0.42615,0,0
Choladocola sp. 21673_4_3,Lachnospiraceae gen. AF34-16,0.42235,pos,0.42235,0,0
Choladocola sp. OM08-6BH,Lachnospiraceae gen. AF34-16,0.33407,pos,0.33407,0,0
Clostridium_Q fessum AF27-5AA,Lachnospiraceae gen. AF34-16,0.34101,pos,0.34101,0,0
Eisenbergiella sp. 14207_7_45,Lachnospiraceae gen. AF34-16,0.33339,pos,0.33339,0,0
Eisenbergiella sp. AF16-15,Lachnospiraceae gen. AF34-16,0.40498,pos,0.40498,0,0
Eisenbergiella sp. AF36-19BH,Lachnospiraceae gen. AF34-16,0.41822,pos,0.41822,0,0
Eisenbergiella sp. AM46-4BH,Lachnospiraceae gen. AF34-16,0.42444,pos,0.42444,0,0
Eisenbergiella sp. TM09-10,Lachnospiraceae gen. AF34-16,0.39925,pos,0.39925,0,0
Eubacterium_F sp. AF36-4,Lachnospiraceae gen. AF34-16,0.35406,pos,0.35406,0,0
Eubacterium_F sp. AF37-5,Lachnospiraceae gen. AF34-16,0.36534,pos,0.36534,0,0
Eubacterium_F sp. AM53-6,Lachnospiraceae gen. AF34-16,0.42724,pos,0.42724,0,0
Lachnospiraceae gen. 13414_6_70,Lachnospiraceae gen. AF34-16,0.69057,pos,0.69057,0,0
Lachnospiraceae gen. AF12-17LB,Lachnospiraceae gen. AF34-16,0.7605,pos,0.7605,0,0
Lachnospiraceae gen. AF15-21,Lachnospiraceae gen. AF34-16,0.65398,pos,0.65398,0,0
Lachnospiraceae gen. AF20-18LB,Lachnospiraceae gen. AF34-16,0.74277,pos,0.74277,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospiraceae gen. AF42-8,0.54449,pos,0.54449,0,0
Acetatifactor sp. AF34-10BH,Lachnospiraceae gen. AF42-8,0.53268,pos,0.53268,0,0
Acetatifactor sp. AF46-12NS,Lachnospiraceae gen. AF42-8,0.31255,pos,0.31255,0,0
Acetatifactor sp. TM11-1A,Lachnospiraceae gen. AF42-8,0.52143,pos,0.52143,0,0
Agathobacter faecis 21673_4_84,Lachnospiraceae gen. AF42-8,0.41168,pos,0.41168,0,0
Agathobacter faecis GCA_001405615,Lachnospiraceae gen. AF42-8,0.42685,pos,0.42685,0,0
Agathobacter faecis GCA_015550045,Lachnospiraceae gen. AF42-8,0.41442,pos,0.41442,0,0
Agathobacter rectalis AF17-27,Lachnospiraceae gen. AF42-8,0.51098,pos,0.51098,0,0
Agathobacter rectalis GCA_001406835,Lachnospiraceae gen. AF42-8,0.44174,pos,0.44174,0,0
Agathobacter rectalis GCA_013303775,Lachnospiraceae gen. AF42-8,0.37075,pos,0.37075,0,0
Agathobacter rectalis GCA_015557515,Lachnospiraceae gen. AF42-8,0.46214,pos,0.46214,0,0
Agathobacter rectalis GCA_018784685,Lachnospiraceae gen. AF42-8,0.45637,pos,0.45637,0,0
Agathobacter rectalis TM10-3,Lachnospiraceae gen. AF42-8,0.42434,pos,0.42434,0,0
Agathobacter sp. 20427_4_23,Lachnospiraceae gen. AF42-8,0.65072,pos,0.65072,0,0
Bariatricus comes GCA_013301565,Lachnospiraceae gen. AF42-8,0.44638,pos,0.44638,0,0
Butyribacter intestini AF81-08TA,Lachnospiraceae gen. AF42-8,0.48554,pos,0.48554,0,0
Butyribacter sp. AM49-4BH,Lachnospiraceae gen. AF42-8,0.48325,pos,0.48325,0,0
Butyribacter sp. AM53-13BH,Lachnospiraceae gen. AF42-8,0.47607,pos,0.47607,0,0
Choladocola sp. 21673_4_3,Lachnospiraceae gen. AF42-8,0.45057,pos,0.45057,0,0
Choladocola sp. OM08-6BH,Lachnospiraceae gen. AF42-8,0.35266,pos,0.35266,0,0
Clostridium_Q fessum AF27-5AA,Lachnospiraceae gen. AF42-8,0.42161,pos,0.42161,0,0
Eisenbergiella sp. 14207_7_45,Lachnospiraceae gen. AF42-8,0.37053,pos,0.37053,0,0
Eisenbergiella sp. AF16-15,Lachnospiraceae gen. AF42-8,0.44329,pos,0.44329,0,0
Eisenbergiella sp. AF36-19BH,Lachnospiraceae gen. AF42-8,0.42233,pos,0.42233,0,0
Eisenbergiella sp. AM46-4BH,Lachnospiraceae gen. AF42-8,0.44439,pos,0.44439,0,0
Eisenbergiella sp. TM09-10,Lachnospiraceae gen. AF42-8,0.43666,pos,0.43666,0,0
Eubacterium_F sp. AF36-4,Lachnospiraceae gen. AF42-8,0.38627,pos,0.38627,0,0
Eubacterium_F sp. AF37-5,Lachnospiraceae gen. AF42-8,0.37768,pos,0.37768,0,0
Eubacterium_F sp. AM53-6,Lachnospiraceae gen. AF42-8,0.44393,pos,0.44393,0,0
Lachnospiraceae gen. 13414_6_70,Lachnospiraceae gen. AF42-8,0.70157,pos,0.70157,0,0
Lachnospiraceae gen. AF12-17LB,Lachnospiraceae gen. AF42-8,0.71067,pos,0.71067,0,0
Lachnospiraceae gen. AF15-21,Lachnospiraceae gen. AF42-8,0.74146,pos,0.74146,0,0
Lachnospiraceae gen. AF20-18LB,Lachnospiraceae gen. AF42-8,0.77211,pos,0.77211,0,0
Lachnospiraceae gen. AF34-16,Lachnospiraceae gen. AF42-8,0.73568,pos,0.73568,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospiraceae gen. AF54-6pH10A,0.51766,pos,0.51766,0,0
Acetatifactor sp. AF34-10BH,Lachnospiraceae gen. AF54-6pH10A,0.47134,pos,0.47134,0,0
Acetatifactor sp. TM11-1A,Lachnospiraceae gen. AF54-6pH10A,0.50598,pos,0.50598,0,0
Agathobacter faecis 21673_4_84,Lachnospiraceae gen. AF54-6pH10A,0.32589,pos,0.32589,0,0
Agathobacter faecis GCA_001405615,Lachnospiraceae gen. AF54-6pH10A,0.35483,pos,0.35483,0,0
Agathobacter faecis GCA_015550045,Lachnospiraceae gen. AF54-6pH10A,0.35176,pos,0.35176,0,0
Agathobacter rectalis AF17-27,Lachnospiraceae gen. AF54-6pH10A,0.44702,pos,0.44702,0,0
Agathobacter rectalis GCA_001406835,Lachnospiraceae gen. AF54-6pH10A,0.39733,pos,0.39733,0,0
Agathobacter rectalis GCA_013303775,Lachnospiraceae gen. AF54-6pH10A,0.31705,pos,0.31705,0,0
Agathobacter rectalis GCA_015557515,Lachnospiraceae gen. AF54-6pH10A,0.40099,pos,0.40099,0,0
Agathobacter rectalis GCA_018784685,Lachnospiraceae gen. AF54-6pH10A,0.38172,pos,0.38172,0,0
Agathobacter rectalis TM10-3,Lachnospiraceae gen. AF54-6pH10A,0.36539,pos,0.36539,0,0
Agathobacter sp. 20427_4_23,Lachnospiraceae gen. AF54-6pH10A,0.53236,pos,0.53236,0,0
Bariatricus comes GCA_013301565,Lachnospiraceae gen. AF54-6pH10A,0.35083,pos,0.35083,0,0
Butyribacter intestini AF81-08TA,Lachnospiraceae gen. AF54-6pH10A,0.39535,pos,0.39535,0,0
Butyribacter sp. AM49-4BH,Lachnospiraceae gen. AF54-6pH10A,0.46799,pos,0.46799,0,0
Butyribacter sp. AM53-13BH,Lachnospiraceae gen. AF54-6pH10A,0.43323,pos,0.43323,0,0
Choladocola sp. 21673_4_3,Lachnospiraceae gen. AF54-6pH10A,0.47712,pos,0.47712,0,0
Choladocola sp. OM08-6BH,Lachnospiraceae gen. AF54-6pH10A,0.35672,pos,0.35672,0,0
Clostridium_Q fessum AF27-5AA,Lachnospiraceae gen. AF54-6pH10A,0.3416,pos,0.3416,0,0
Eisenbergiella sp. 14207_7_45,Lachnospiraceae gen. AF54-6pH10A,0.32765,pos,0.32765,0,0
Eisenbergiella sp. AF16-15,Lachnospiraceae gen. AF54-6pH10A,0.40484,pos,0.40484,0,0
Eisenbergiella sp. AF36-19BH,Lachnospiraceae gen. AF54-6pH10A,0.39361,pos,0.39361,0,0
Eisenbergiella sp. AM46-4BH,Lachnospiraceae gen. AF54-6pH10A,0.40667,pos,0.40667,0,0
Eisenbergiella sp. TM09-10,Lachnospiraceae gen. AF54-6pH10A,0.37268,pos,0.37268,0,0
Eubacterium_F sp. AF36-4,Lachnospiraceae gen. AF54-6pH10A,0.42457,pos,0.42457,0,0
Eubacterium_F sp. AF37-5,Lachnospiraceae gen. AF54-6pH10A,0.39196,pos,0.39196,0,0
Eubacterium_F sp. AM53-6,Lachnospiraceae gen. AF54-6pH10A,0.44555,pos,0.44555,0,0
Lachnospiraceae gen. 13414_6_70,Lachnospiraceae gen. AF54-6pH10A,0.70547,pos,0.70547,0,0
Lachnospiraceae gen. AF12-17LB,Lachnospiraceae gen. AF54-6pH10A,0.66694,pos,0.66694,0,0
Lachnospiraceae gen. AF15-21,Lachnospiraceae gen. AF54-6pH10A,0.71736,pos,0.71736,0,0
Lachnospiraceae gen. AF20-18LB,Lachnospiraceae gen. AF54-6pH10A,0.72974,pos,0.72974,0,0
Lachnospiraceae gen. AF34-16,Lachnospiraceae gen. AF54-6pH10A,0.7107,pos,0.7107,0,0
Lachnospiraceae gen. AF42-8,Lachnospiraceae gen. AF54-6pH10A,0.73549,pos,0.73549,0,0
Anaerotignum lactatifermentans_A GCA_016902195,Lachnospiraceae gen. GCA_014297335,0.55085,pos,0.55085,0,0
Acetatifactor intestinalis AF22-6AC,Lachnospiraceae gen. GCA_900066985,0.41144,pos,0.41144,0,0
Acetatifactor sp. AF34-10BH,Lachnospiraceae gen. GCA_900066985,0.35999,pos,0.35999,0,0
Acetatifactor sp. TM11-1A,Lachnospiraceae gen. GCA_900066985,0.39513,pos,0.39513,0,0
Agathobacter faecis 21673_4_84,Lachnospiraceae gen. GCA_900066985,0.43634,pos,0.43634,0,0
Agathobacter faecis GCA_001405615,Lachnospiraceae gen. GCA_900066985,0.4494,pos,0.4494,0,0
Agathobacter faecis GCA_015550045,Lachnospiraceae gen. GCA_900066985,0.47402,pos,0.47402,0,0
Agathobacter rectalis AF17-27,Lachnospiraceae gen. GCA_900066985,0.49904,pos,0.49904,0,0
Agathobacter rectalis GCA_001406835,Lachnospiraceae gen. GCA_900066985,0.4367,pos,0.4367,0,0
Agathobacter rectalis GCA_013303775,Lachnospiraceae gen. GCA_900066985,0.34266,pos,0.34266,0,0
Agathobacter rectalis GCA_015557515,Lachnospiraceae gen. GCA_900066985,0.45805,pos,0.45805,0,0
Agathobacter rectalis GCA_018784685,Lachnospiraceae gen. GCA_900066985,0.45402,pos,0.45402,0,0
Agathobacter rectalis TM10-3,Lachnospiraceae gen. GCA_900066985,0.46973,pos,0.46973,0,0
Agathobacter sp. 20427_4_23,Lachnospiraceae gen. GCA_900066985,0.4151,pos,0.4151,0,0
Bariatricus comes GCA_013301565,Lachnospiraceae gen. GCA_900066985,0.41256,pos,0.41256,0,0
Butyribacter intestini AF81-08TA,Lachnospiraceae gen. GCA_900066985,0.47103,pos,0.47103,0,0
Butyribacter sp. AM49-4BH,Lachnospiraceae gen. GCA_900066985,0.43898,pos,0.43898,0,0
Butyribacter sp. AM53-13BH,Lachnospiraceae gen. GCA_900066985,0.41141,pos,0.41141,0,0
Choladocola sp. 21673_4_3,Lachnospiraceae gen. GCA_900066985,0.48718,pos,0.48718,0,0
Choladocola sp. OM08-6BH,Lachnospiraceae gen. GCA_900066985,0.48456,pos,0.48456,0,0
Clostridium_Q fessum AF27-5AA,Lachnospiraceae gen. GCA_900066985,0.47565,pos,0.47565,0,0
Eisenbergiella sp. 14207_7_45,Lachnospiraceae gen. GCA_900066985,0.32845,pos,0.32845,0,0
Eisenbergiella sp. AF16-15,Lachnospiraceae gen. GCA_900066985,0.33626,pos,0.33626,0,0
Eisenbergiella sp. AF36-19BH,Lachnospiraceae gen. GCA_900066985,0.36671,pos,0.36671,0,0
Eisenbergiella sp. AM46-4BH,Lachnospiraceae gen. GCA_900066985,0.37689,pos,0.37689,0,0
Eisenbergiella sp. TM09-10,Lachnospiraceae gen. GCA_900066985,0.37243,pos,0.37243,0,0
Eubacterium_F sp. AF36-4,Lachnospiraceae gen. GCA_900066985,0.32345,pos,0.32345,0,0
Eubacterium_F sp. AF37-5,Lachnospiraceae gen. GCA_900066985,0.34681,pos,0.34681,0,0
Eubacterium_F sp. AM53-6,Lachnospiraceae gen. GCA_900066985,0.42561,pos,0.42561,0,0
Lachnospiraceae gen. 13414_6_70,Lachnospiraceae gen. GCA_900066985,0.42919,pos,0.42919,0,0
Lachnospiraceae gen. AF12-17LB,Lachnospiraceae gen. GCA_900066985,0.39941,pos,0.39941,0,0
Lachnospiraceae gen. AF15-21,Lachnospiraceae gen. GCA_900066985,0.50928,pos,0.50928,0,0
Lachnospiraceae gen. AF20-18LB,Lachnospiraceae gen. GCA_900066985,0.40681,pos,0.40681,0,0
Lachnospiraceae gen. AF34-16,Lachnospiraceae gen. GCA_900066985,0.3538,pos,0.3538,0,0
Lachnospiraceae gen. AF42-8,Lachnospiraceae gen. GCA_900066985,0.39674,pos,0.39674,0,0
Lachnospiraceae gen. AF54-6pH10A,Lachnospiraceae gen. GCA_900066985,0.38069,pos,0.38069,0,0
Acetatifactor intestinalis AF22-6AC,Mediterraneibacter faecis AM33-14,0.39552,pos,0.39552,0,0
Acetatifactor sp. AF34-10BH,Mediterraneibacter faecis AM33-14,0.35097,pos,0.35097,0,0
Acetatifactor sp. TM11-1A,Mediterraneibacter faecis AM33-14,0.37538,pos,0.37538,0,0
Agathobacter rectalis AF17-27,Mediterraneibacter faecis AM33-14,0.40222,pos,0.40222,0,0
Agathobacter rectalis GCA_001406835,Mediterraneibacter faecis AM33-14,0.39347,pos,0.39347,0,0
Agathobacter rectalis GCA_013303775,Mediterraneibacter faecis AM33-14,0.39601,pos,0.39601,0,0
Agathobacter rectalis GCA_015557515,Mediterraneibacter faecis AM33-14,0.43975,pos,0.43975,0,0
Agathobacter rectalis GCA_018784685,Mediterraneibacter faecis AM33-14,0.43691,pos,0.43691,0,0
Agathobacter rectalis TM10-3,Mediterraneibacter faecis AM33-14,0.4066,pos,0.4066,0,0
Bariatricus comes GCA_013301565,Mediterraneibacter faecis AM33-14,0.31462,pos,0.31462,0,0
Butyribacter intestini AF81-08TA,Mediterraneibacter faecis AM33-14,0.31946,pos,0.31946,0,0
Butyribacter sp. AM49-4BH,Mediterraneibacter faecis AM33-14,0.30791,pos,0.30791,0,0
Choladocola sp. 21673_4_3,Mediterraneibacter faecis AM33-14,0.38554,pos,0.38554,0,0
Choladocola sp. OM08-6BH,Mediterraneibacter faecis AM33-14,0.40905,pos,0.40905,0,0
Clostridium_Q fessum AF27-5AA,Mediterraneibacter faecis AM33-14,0.37338,pos,0.37338,0,0
Eisenbergiella sp. 14207_7_45,Mediterraneibacter faecis AM33-14,0.35916,pos,0.35916,0,0
Eisenbergiella sp. AF16-15,Mediterraneibacter faecis AM33-14,0.38506,pos,0.38506,0,0
Eisenbergiella sp. AF36-19BH,Mediterraneibacter faecis AM33-14,0.37573,pos,0.37573,0,0
Eisenbergiella sp. AM46-4BH,Mediterraneibacter faecis AM33-14,0.40769,pos,0.40769,0,0
Eisenbergiella sp. TM09-10,Mediterraneibacter faecis AM33-14,0.39056,pos,0.39056,0,0
Lachnospiraceae gen. AF12-17LB,Mediterraneibacter faecis AM33-14,0.30731,pos,0.30731,0,0
Lachnospiraceae gen. AF15-21,Mediterraneibacter faecis AM33-14,0.33452,pos,0.33452,0,0
Lachnospiraceae gen. AF42-8,Mediterraneibacter faecis AM33-14,0.30872,pos,0.30872,0,0
Lachnospiraceae gen. GCA_900066985,Mediterraneibacter faecis AM33-14,0.41244,pos,0.41244,0,0
Agathobacter rectalis GCA_013303775,Mediterraneibacter lactaris AM25-1LB,0.30902,pos,0.30902,0,0
Anaerotignum lactatifermentans_A GCA_016902195,Mediterraneibacter sp. GCA_014287475,0.53771,pos,0.53771,0,0
Lachnospiraceae gen. GCA_014297335,Mediterraneibacter sp. GCA_014287475,0.53967,pos,0.53967,0,0
Acetatifactor intestinalis AF22-6AC,Pararoseburia lenta AM51-8,0.48941,pos,0.48941,0,0
Acetatifactor sp. AF34-10BH,Pararoseburia lenta AM51-8,0.4719,pos,0.4719,0,0
Acetatifactor sp. AF46-12NS,Pararoseburia lenta AM51-8,0.39342,pos,0.39342,0,0
Acetatifactor sp. TM11-1A,Pararoseburia lenta AM51-8,0.49774,pos,0.49774,0,0
Agathobacter faecis 21673_4_84,Pararoseburia lenta AM51-8,0.35035,pos,0.35035,0,0
Agathobacter faecis GCA_001405615,Pararoseburia lenta AM51-8,0.37184,pos,0.37184,0,0
Agathobacter faecis GCA_015550045,Pararoseburia lenta AM51-8,0.37765,pos,0.37765,0,0
Agathobacter rectalis AF17-27,Pararoseburia lenta AM51-8,0.4614,pos,0.4614,0,0
Agathobacter rectalis GCA_001406835,Pararoseburia lenta AM51-8,0.43671,pos,0.43671,0,0
Agathobacter rectalis GCA_013303775,Pararoseburia lenta AM51-8,0.34035,pos,0.34035,0,0
Agathobacter rectalis GCA_015557515,Pararoseburia lenta AM51-8,0.46596,pos,0.46596,0,0
Agathobacter rectalis GCA_018784685,Pararoseburia lenta AM51-8,0.42826,pos,0.42826,0,0
Agathobacter rectalis TM10-3,Pararoseburia lenta AM51-8,0.42235,pos,0.42235,0,0
Agathobacter sp. 20427_4_23,Pararoseburia lenta AM51-8,0.51715,pos,0.51715,0,0
Bariatricus comes GCA_013301565,Pararoseburia lenta AM51-8,0.41299,pos,0.41299,0,0
Blautia_A wexlerae GCA_009881395,Pararoseburia lenta AM51-8,0.3286,pos,0.3286,0,0
Butyribacter intestini AF81-08TA,Pararoseburia lenta AM51-8,0.49755,pos,0.49755,0,0
Butyribacter sp. AM49-4BH,Pararoseburia lenta AM51-8,0.47108,pos,0.47108,0,0
Butyribacter sp. AM53-13BH,Pararoseburia lenta AM51-8,0.49525,pos,0.49525,0,0
Choladocola sp. 21673_4_3,Pararoseburia lenta AM51-8,0.53367,pos,0.53367,0,0
Choladocola sp. OM08-6BH,Pararoseburia lenta AM51-8,0.48296,pos,0.48296,0,0
Clostridium_Q fessum AF27-5AA,Pararoseburia lenta AM51-8,0.43407,pos,0.43407,0,0
Eisenbergiella sp. 14207_7_45,Pararoseburia lenta AM51-8,0.34663,pos,0.34663,0,0
Eisenbergiella sp. AF16-15,Pararoseburia lenta AM51-8,0.39145,pos,0.39145,0,0
Eisenbergiella sp. AF36-19BH,Pararoseburia lenta AM51-8,0.38505,pos,0.38505,0,0
Eisenbergiella sp. AM46-4BH,Pararoseburia lenta AM51-8,0.4099,pos,0.4099,0,0
Eisenbergiella sp. TM09-10,Pararoseburia lenta AM51-8,0.36526,pos,0.36526,0,0
Enterocloster bolteae AM27-28LB,Pararoseburia lenta AM51-8,0.33366,pos,0.33366,0,0
Eubacterium_F sp. AF36-4,Pararoseburia lenta AM51-8,0.42151,pos,0.42151,0,0
Eubacterium_F sp. AF37-5,Pararoseburia lenta AM51-8,0.41712,pos,0.41712,0,0
Eubacterium_F sp. AM53-6,Pararoseburia lenta AM51-8,0.51135,pos,0.51135,0,0
Eubacterium_G sp. OF14-22SRA,Pararoseburia lenta AM51-8,0.31136,pos,0.31136,0,0
Lachnospiraceae gen. 13414_6_70,Pararoseburia lenta AM51-8,0.44386,pos,0.44386,0,0
Lachnospiraceae gen. AF12-17LB,Pararoseburia lenta AM51-8,0.50345,pos,0.50345,0,0
Lachnospiraceae gen. AF15-21,Pararoseburia lenta AM51-8,0.52428,pos,0.52428,0,0
Lachnospiraceae gen. AF20-18LB,Pararoseburia lenta AM51-8,0.52309,pos,0.52309,0,0
Lachnospiraceae gen. AF34-16,Pararoseburia lenta AM51-8,0.51161,pos,0.51161,0,0
Lachnospiraceae gen. AF42-8,Pararoseburia lenta AM51-8,0.51948,pos,0.51948,0,0
Lachnospiraceae gen. AF54-6pH10A,Pararoseburia lenta AM51-8,0.49929,pos,0.49929,0,0
Lachnospiraceae gen. GCA_900066985,Pararoseburia lenta AM51-8,0.44267,pos,0.44267,0,0
Mediterraneibacter faecis AM33-14,Pararoseburia lenta AM51-8,0.32227,pos,0.32227,0,0
Acetatifactor intestinalis AF22-6AC,Wujia chipingensis AF15-49,0.44821,pos,0.44821,0,0
Acetatifactor sp. AF34-10BH,Wujia chipingensis AF15-49,0.43703,pos,0.43703,0,0
Acetatifactor sp. AF46-12NS,Wujia chipingensis AF15-49,0.34417,pos,0.34417,0,0
Acetatifactor sp. TM11-1A,Wujia chipingensis AF15-49,0.46276,pos,0.46276,0,0
Agathobacter faecis 21673_4_84,Wujia chipingensis AF15-49,0.39345,pos,0.39345,0,0
Agathobacter faecis GCA_001405615,Wujia chipingensis AF15-49,0.42013,pos,0.42013,0,0
Agathobacter faecis GCA_015550045,Wujia chipingensis AF15-49,0.38848,pos,0.38848,0,0
Agathobacter rectalis AF17-27,Wujia chipingensis AF15-49,0.44818,pos,0.44818,0,0
Agathobacter rectalis GCA_001406835,Wujia chipingensis AF15-49,0.40188,pos,0.40188,0,0
Agathobacter rectalis GCA_013303775,Wujia chipingensis AF15-49,0.34748,pos,0.34748,0,0
Agathobacter rectalis GCA_015557515,Wujia chipingensis AF15-49,0.41044,pos,0.41044,0,0
Agathobacter rectalis GCA_018784685,Wujia chipingensis AF15-49,0.40749,pos,0.40749,0,0
Agathobacter rectalis TM10-3,Wujia chipingensis AF15-49,0.39431,pos,0.39431,0,0
Agathobacter sp. 20427_4_23,Wujia chipingensis AF15-49,0.50199,pos,0.50199,0,0
Bariatricus comes GCA_013301565,Wujia chipingensis AF15-49,0.4531,pos,0.4531,0,0
Butyribacter intestini AF81-08TA,Wujia chipingensis AF15-49,0.44293,pos,0.44293,0,0
Butyribacter sp. AM49-4BH,Wujia chipingensis AF15-49,0.40671,pos,0.40671,0,0
Butyribacter sp. AM53-13BH,Wujia chipingensis AF15-49,0.44831,pos,0.44831,0,0
Choladocola sp. 21673_4_3,Wujia chipingensis AF15-49,0.52713,pos,0.52713,0,0
Choladocola sp. OM08-6BH,Wujia chipingensis AF15-49,0.45534,pos,0.45534,0,0
Clostridium_Q fessum AF27-5AA,Wujia chipingensis AF15-49,0.44655,pos,0.44655,0,0
Eisenbergiella sp. AF16-15,Wujia chipingensis AF15-49,0.34702,pos,0.34702,0,0
Eisenbergiella sp. AF36-19BH,Wujia chipingensis AF15-49,0.30977,pos,0.30977,0,0
Eisenbergiella sp. AM46-4BH,Wujia chipingensis AF15-49,0.36612,pos,0.36612,0,0
Eisenbergiella sp. TM09-10,Wujia chipingensis AF15-49,0.30957,pos,0.30957,0,0
Eubacterium_F sp. AF36-4,Wujia chipingensis AF15-49,0.3093,pos,0.3093,0,0
Eubacterium_F sp. AF37-5,Wujia chipingensis AF15-49,0.31029,pos,0.31029,0,0
Eubacterium_F sp. AM53-6,Wujia chipingensis AF15-49,0.38446,pos,0.38446,0,0
Lachnospiraceae gen. 13414_6_70,Wujia chipingensis AF15-49,0.35677,pos,0.35677,0,0
Lachnospiraceae gen. AF12-17LB,Wujia chipingensis AF15-49,0.46124,pos,0.46124,0,0
Lachnospiraceae gen. AF15-21,Wujia chipingensis AF15-49,0.4634,pos,0.4634,0,0
Lachnospiraceae gen. AF20-18LB,Wujia chipingensis AF15-49,0.4808,pos,0.4808,0,0
Lachnospiraceae gen. AF34-16,Wujia chipingensis AF15-49,0.42306,pos,0.42306,0,0
Lachnospiraceae gen. AF42-8,Wujia chipingensis AF15-49,0.47863,pos,0.47863,0,0
Lachnospiraceae gen. AF54-6pH10A,Wujia chipingensis AF15-49,0.4391,pos,0.4391,0,0
Lachnospiraceae gen. GCA_900066985,Wujia chipingensis AF15-49,0.46325,pos,0.46325,0,0
Mediterraneibacter faecis AM33-14,Wujia chipingensis AF15-49,0.31631,pos,0.31631,0,0
Mediterraneibacter lactaris AM25-1LB,Wujia chipingensis AF15-49,0.3019,pos,0.3019,0,0
Pararoseburia lenta AM51-8,Wujia chipingensis AF15-49,0.55496,pos,0.55496,0,0
Acetatifactor intestinalis AF22-6AC,Wujia chipingensis AF23-8,0.41671,pos,0.41671,0,0
Acetatifactor sp. AF34-10BH,Wujia chipingensis AF23-8,0.41928,pos,0.41928,0,0
Acetatifactor sp. TM11-1A,Wujia chipingensis AF23-8,0.40614,pos,0.40614,0,0
Agathobacter faecis 21673_4_84,Wujia chipingensis AF23-8,0.35879,pos,0.35879,0,0
Agathobacter faecis GCA_001405615,Wujia chipingensis AF23-8,0.35078,pos,0.35078,0,0
Agathobacter faecis GCA_015550045,Wujia chipingensis AF23-8,0.37062,pos,0.37062,0,0
Agathobacter rectalis AF17-27,Wujia chipingensis AF23-8,0.38625,pos,0.38625,0,0
Agathobacter rectalis GCA_001406835,Wujia chipingensis AF23-8,0.33133,pos,0.33133,0,0
Agathobacter rectalis GCA_015557515,Wujia chipingensis AF23-8,0.32456,pos,0.32456,0,0
Agathobacter rectalis GCA_018784685,Wujia chipingensis AF23-8,0.30166,pos,0.30166,0,0
Agathobacter rectalis TM10-3,Wujia chipingensis AF23-8,0.31634,pos,0.31634,0,0
Agathobacter sp. 20427_4_23,Wujia chipingensis AF23-8,0.51907,pos,0.51907,0,0
Bariatricus comes GCA_013301565,Wujia chipingensis AF23-8,0.40749,pos,0.40749,0,0
Blautia_A wexlerae GCA_009881395,Wujia chipingensis AF23-8,0.35965,pos,0.35965,0,0
Butyribacter intestini AF81-08TA,Wujia chipingensis AF23-8,0.51063,pos,0.51063,0,0
Butyribacter sp. AM49-4BH,Wujia chipingensis AF23-8,0.45778,pos,0.45778,0,0
Butyribacter sp. AM53-13BH,Wujia chipingensis AF23-8,0.47143,pos,0.47143,0,0
Choladocola sp. 21673_4_3,Wujia chipingensis AF23-8,0.3926,pos,0.3926,0,0
Choladocola sp. OM08-6BH,Wujia chipingensis AF23-8,0.43314,pos,0.43314,0,0
Clostridium_Q fessum AF27-5AA,Wujia chipingensis AF23-8,0.42074,pos,0.42074,0,0
Eisenbergiella sp. AF16-15,Wujia chipingensis AF23-8,0.33264,pos,0.33264,0,0
