cluster,Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,type
33,GCA_000153905,13414_6_65,79,[76 - 81.7%],0.0245,89.78,know
33,GCA_000153905,18048_1_72,86.1,[83.5 - 88.4%],0.0163,94.28,know
33,GCA_000153905,18048_2_72,86.1,[83.5 - 88.4%],0.0164,94.27,know
33,GCA_000153905,20287_6_32,85.8,[83.1 - 88.1%],0.0168,94.1,know
33,GCA_000153905,20287_6_36,79.1,[76.1 - 81.7%],0.0245,89.84,know
33,GCA_000153905,20287_6_41,85.7,[83 - 88%],0.0168,94.07,know
33,GCA_000153905,20287_6_49,85.7,[83.1 - 88%],0.0168,94.08,know
33,GCA_000153905,20287_6_56,85.7,[83 - 88%],0.0168,94.08,know
33,GCA_000153905,20287_6_76,85.7,[83.1 - 88%],0.0168,94.08,know
33,GCA_000153905,21673_4_31,85.7,[83.1 - 88.1%],0.0168,94.09,know
33,GCA_000153905,AF14-23,84.9,[82.2 - 87.3%],0.0178,93.67,know
33,GCA_000153905,AF14-52,85.1,[82.4 - 87.5%],0.0175,93.8,know
33,GCA_000153905,AF21-24,85.1,[82.4 - 87.4%],0.0175,93.77,know
33,GCA_000153905,AF24-10LB,84.4,[81.7 - 86.8%],0.0183,93.42,know
33,GCA_000153905,AF25-21,82.3,[79.4 - 84.8%],0.0207,92.2,know
33,GCA_000153905,AF29-2BH,85.3,[82.6 - 87.6%],0.0173,93.86,know
33,GCA_000153905,AF35-14AC,84.8,[82.1 - 87.2%],0.0178,93.64,know
33,GCA_000153905,AF37-6AC,86.4,[83.8 - 88.7%],0.0161,94.39,know
33,GCA_000153905,AF39-4,84.4,[81.6 - 86.8%],0.0183,93.4,know
33,GCA_000153905,AF84-09pH9TA,85.3,[82.6 - 87.7%],0.0172,93.89,know
33,GCA_000153905,AF98-09,84.8,[82.1 - 87.2%],0.0178,93.64,know
33,GCA_000153905,AM18-2AC,84.7,[81.9 - 87.1%],0.018,93.56,know
33,GCA_000153905,AM22-9LB,85.3,[82.6 - 87.7%],0.0173,93.89,know
33,GCA_000153905,AM27-32LB,84.5,[81.7 - 86.9%],0.0182,93.46,know
33,GCA_000153905,AM27-34,84.6,[81.9 - 87%],0.018,93.55,know
33,GCA_000153905,AM29-25AC,83.3,[80.5 - 85.8%],0.0196,92.79,know
33,GCA_000153905,AM34-12,85.8,[83.1 - 88.1%],0.0167,94.11,know
33,GCA_000153905,AM37-4AC,84.2,[81.5 - 86.6%],0.0185,93.32,know
33,GCA_000153905,AM39-5AC,84.4,[81.7 - 86.8%],0.0183,93.42,know
33,GCA_000153905,AM41-5,85.3,[82.6 - 87.7%],0.0172,93.9,know
33,GCA_000153905,AM54-7NE,82.4,[79.6 - 84.9%],0.0205,92.27,know
33,GCA_000153905,AM100_B38A,85.2,[82.5 - 87.5%],0.0174,93.81,know
33,GCA_000153905,GCA_001404535,88.3,[85.8 - 90.4%],0.014,95.19,know
33,GCA_000153905,GCA_001405215,84.4,[81.7 - 86.8%],0.0183,93.44,know
33,GCA_000153905,GCA_004167815,87.2,[84.7 - 89.4%],0.0151,94.76,know
33,GCA_000153905,GCA_005845175,85.7,[83 - 88%],0.0168,94.08,know
33,GCA_000153905,GCA_009883065,87.2,[84.6 - 89.4%],0.0152,94.74,know
33,GCA_000153905,GCA_013299585,84.5,[81.8 - 86.9%],0.0181,93.49,know
33,GCA_000153905,GCA_013302195,85.3,[82.6 - 87.6%],0.0173,93.86,know
33,GCA_000153905,GCA_013302215,85.2,[82.5 - 87.5%],0.0174,93.82,know
33,GCA_000153905,GCA_013304315,83.8,[81 - 86.3%],0.0189,93.11,know
33,GCA_000153905,GCA_013304525,85.4,[82.7 - 87.8%],0.0172,93.93,know
33,GCA_000153905,GCA_015667435,78.2,[75.3 - 80.9%],0.0255,89.11,know
33,GCA_000153905,GCA_015668015,85.7,[83 - 88%],0.0168,94.08,know
33,GCA_000153905,GCA_902167835,77.5,[74.5 - 80.2%],0.0264,88.42,know
33,GCA_000153905,OF03-14,84,[81.2 - 86.5%],0.0187,93.21,know
33,GCA_000153905,OM03-6,85.5,[82.8 - 87.8%],0.0171,93.97,know
33,GCA_000153905,OM06-11AA,87.1,[84.5 - 89.3%],0.0153,94.7,know
33,GCA_000153905,TF09-10AC,84.5,[81.7 - 86.9%],0.0182,93.45,know
33,GCA_000153905,TM09-13AC,83.4,[80.6 - 85.9%],0.0194,92.86,know
39,GCA_000233455,13470_2_56,95.6,[94.1 - 96.7%],0.006,97.34,know
39,GCA_000233455,21673_4_35,95.7,[94.3 - 96.8%],0.0058,97.37,know
39,GCA_000233455,AF29-4,94.8,[93.2 - 96.1%],0.0068,97.16,know
39,GCA_000233455,AM09-31,95.4,[93.9 - 96.6%],0.0061,97.3,know
39,GCA_000233455,AM75-15pH9A,94.6,[92.9 - 95.9%],0.0071,97.1,know
39,GCA_000233455,GCA_001078435,95,[93.4 - 96.2%],0.0066,97.2,know
39,GCA_000233455,GCA_015548445,95.6,[94.1 - 96.7%],0.006,97.33,know
39,GCA_000233455,GCA_900115855,95.6,[94.1 - 96.7%],0.0059,97.34,know
40,GCA_000155875,13470_2_57,93.8,[92 - 95.2%],0.008,96.91,know
40,GCA_000155875,18048_1_65,94,[92.2 - 95.4%],0.0077,96.97,know
40,GCA_000155875,18048_2_65,94,[92.3 - 95.4%],0.0077,96.97,know
40,GCA_000155875,AF16-31,79.4,[76.4 - 82.1%],0.0241,90.1,know
40,GCA_000155875,AF18-12LB,80.5,[77.6 - 83.2%],0.0227,91,know
40,GCA_000155875,AF51-11b1,86.9,[84.3 - 89.1%],0.0156,94.6,know
40,GCA_000155875,AF99-45,87.3,[84.7 - 89.5%],0.0151,94.77,know
40,GCA_000155875,AM11-30B,79.1,[76.1 - 81.8%],0.0244,89.86,know
40,GCA_000155875,AM22-12LB,79.9,[77 - 82.5%],0.0235,90.5,know
40,GCA_000155875,AM23-3,80.8,[77.9 - 83.4%],0.0224,91.22,know
40,GCA_000155875,AM97-35,81.8,[78.9 - 84.3%],0.0213,91.86,know
40,GCA_000155875,AM100_B19A,80.5,[77.6 - 83.1%],0.0227,90.97,know
40,GCA_000155875,BF3HA28004B,79.6,[76.7 - 82.3%],0.0238,90.31,know
40,GCA_000155875,GCA_001404595,86.2,[83.6 - 88.5%],0.0162,94.33,know
40,GCA_000155875,GCA_001404815,88.6,[86.1 - 90.7%],0.0137,95.29,know
40,GCA_000155875,GCA_001405795,86.8,[84.1 - 89%],0.0157,94.55,know
40,GCA_000155875,GCA_001406395,86.9,[84.3 - 89.1%],0.0155,94.62,know
40,GCA_000155875,GCA_013299545,88.2,[85.7 - 90.3%],0.0141,95.13,know
40,GCA_000155875,GCA_013299665,87.9,[85.3 - 90%],0.0145,95.01,know
40,GCA_000155875,GCA_013299685,87.3,[84.8 - 89.5%],0.015,94.8,know
40,GCA_000155875,GCA_013299745,87.9,[85.4 - 90%],0.0144,95.03,know
40,GCA_000155875,GCA_013299755,87.5,[84.9 - 89.6%],0.0149,94.85,know
40,GCA_000155875,GCA_013299925,92.5,[90.5 - 94.1%],0.0094,96.57,know
40,GCA_000155875,GCA_013300095,87.4,[84.8 - 89.6%],0.015,94.82,know
40,GCA_000155875,GCA_013300315,87.3,[84.8 - 89.5%],0.015,94.8,know
40,GCA_000155875,GCA_013300465,87.4,[84.8 - 89.6%],0.015,94.82,know
40,GCA_000155875,GCA_013300605,87.9,[85.3 - 90%],0.0145,95.01,know
40,GCA_000155875,GCA_013300635,87.9,[85.4 - 90%],0.0144,95.02,know
40,GCA_000155875,GCA_013300745,87.5,[84.9 - 89.7%],0.0149,94.86,know
40,GCA_000155875,GCA_013300805,92.5,[90.4 - 94.1%],0.0094,96.55,know
40,GCA_000155875,GCA_013301465,87.5,[84.9 - 89.6%],0.0149,94.85,know
40,GCA_000155875,GCA_013301475,87.5,[84.9 - 89.6%],0.0149,94.86,know
40,GCA_000155875,GCA_013301505,87.4,[84.9 - 89.6%],0.0149,94.84,know
40,GCA_000155875,GCA_013301515,87.4,[84.9 - 89.6%],0.0149,94.83,know
40,GCA_000155875,GCA_013301525,87.5,[84.9 - 89.6%],0.0149,94.85,know
40,GCA_000155875,GCA_013301545,87.4,[84.9 - 89.6%],0.0149,94.84,know
40,GCA_000155875,GCA_013301565,87.6,[85.1 - 89.8%],0.0147,94.92,know
40,GCA_000155875,GCA_013301605,79.8,[76.8 - 82.4%],0.0236,90.4,know
40,GCA_000155875,GCA_013361125,87,[84.4 - 89.2%],0.0154,94.67,know
40,GCA_000155875,GCA_015547305,91.7,[89.5 - 93.4%],0.0103,96.33,know
40,GCA_000155875,GCA_015548425,86.5,[83.8 - 88.7%],0.016,94.43,know
40,GCA_000155875,GCA_015548735,92,[89.9 - 93.7%],0.0099,96.42,know
40,GCA_000155875,GCA_015550485,82,[79.2 - 84.6%],0.021,92.04,know
40,GCA_000155875,GCA_015552445,86.4,[83.8 - 88.7%],0.016,94.42,know
40,GCA_000155875,GCA_015552615,87.8,[85.2 - 89.9%],0.0146,94.97,know
40,GCA_000155875,GCA_015553595,87.5,[85 - 89.7%],0.0148,94.87,know
40,GCA_000155875,GCA_015554215,86.3,[83.6 - 88.5%],0.0162,94.33,know
40,GCA_000155875,GCA_015554275,88.7,[86.2 - 90.7%],0.0136,95.33,know
40,GCA_000155875,GCA_015554465,86.7,[84.1 - 89%],0.0157,94.54,know
40,GCA_000155875,GCA_015556105,87.5,[84.9 - 89.7%],0.0149,94.86,know
40,GCA_000155875,GCA_015556185,82,[79.1 - 84.5%],0.021,92,know
40,GCA_000155875,GCA_015558505,88.6,[86.2 - 90.7%],0.0136,95.3,know
40,GCA_000155875,GCA_015560155,87.7,[85.2 - 89.9%],0.0146,94.95,know
40,GCA_000155875,GCA_016904155,99.6,[99.4 - 99.8%],0.0008,98.2,know
40,GCA_000155875,GF3HA05001B,80.7,[77.8 - 83.3%],0.0225,91.13,know
40,GCA_000155875,LG101-27,80.4,[77.4 - 83%],0.0229,90.87,know
40,GCA_000155875,PF3HA28002B,79.6,[76.6 - 82.2%],0.0239,90.24,know
40,GCA_000155875,TF06-38A,85.6,[82.9 - 87.9%],0.0169,94.03,know
40,GCA_000155875,TM07-19,78.1,[75.1 - 80.8%],0.0256,88.99,know
41,GCA_000169235,13470_2_87,84.3,[81.5 - 86.7%],0.0184,93.37,know
41,GCA_000169235,18048_1_92,85.8,[83.1 - 88.1%],0.0168,94.1,know
41,GCA_000169235,18048_2_92,85.8,[83.1 - 88.1%],0.0168,94.11,know
41,GCA_000169235,20287_6_15,85.5,[82.8 - 87.8%],0.0171,93.98,know
41,GCA_000169235,20287_6_20,85.6,[82.9 - 87.9%],0.017,94.02,know
41,GCA_000169235,20287_6_84,89.9,[87.6 - 91.8%],0.0122,95.76,know
41,GCA_000169235,21673_4_87,89.9,[87.6 - 91.8%],0.0122,95.76,know
41,GCA_000169235,AF12-11,79,[76 - 81.7%],0.0245,89.78,know
41,GCA_000169235,AF19-4AC,78.7,[75.8 - 81.4%],0.0248,89.56,know
41,GCA_000169235,AF19-13,86.1,[83.4 - 88.4%],0.0164,94.26,know
41,GCA_000169235,AF21-25,79.4,[76.4 - 82%],0.0241,90.09,know
41,GCA_000169235,AF25-11,77.6,[74.6 - 80.3%],0.0262,88.52,know
41,GCA_000169235,AF31-13BH,81.5,[78.7 - 84.1%],0.0216,91.7,know
41,GCA_000169235,AF36-1BH,85.8,[83.1 - 88.1%],0.0167,94.12,know
41,GCA_000169235,AF42-21,86.9,[84.4 - 89.2%],0.0155,94.63,know
41,GCA_000169235,AF99-31,87.5,[84.9 - 89.7%],0.0149,94.86,know
41,GCA_000169235,AM23-7AC,81.4,[78.5 - 84%],0.0217,91.63,know
41,GCA_000169235,AM29-11,78.8,[75.9 - 81.5%],0.0248,89.63,know
41,GCA_000169235,AM35-12,86,[83.3 - 88.3%],0.0165,94.21,know
41,GCA_000169235,AM37-5,79.7,[76.8 - 82.4%],0.0237,90.35,know
41,GCA_000169235,AM37-11,79.6,[76.7 - 82.3%],0.0238,90.27,know
41,GCA_000169235,AM40-15AC,77.7,[74.7 - 80.4%],0.0261,88.6,know
41,GCA_000169235,AM42-8,81.2,[78.3 - 83.8%],0.0219,91.47,know
41,GCA_000169235,AM46-16,79,[76 - 81.7%],0.0246,89.76,know
41,GCA_000169235,AM100_B1_35,87.3,[84.7 - 89.5%],0.0151,94.78,know
41,GCA_000169235,AM100_B1_35A,87.3,[84.7 - 89.5%],0.0151,94.78,know
41,GCA_000169235,GCA_000225745,80.7,[77.8 - 83.3%],0.0225,91.11,know
41,GCA_000169235,GCA_000420885,81.7,[78.9 - 84.3%],0.0213,91.83,know
41,GCA_000169235,GCA_012843825,86.8,[84.2 - 89.1%],0.0156,94.59,know
41,GCA_000169235,GCA_013300535,85.3,[82.6 - 87.6%],0.0173,93.87,know
41,GCA_000169235,GCA_013301365,78.9,[76 - 81.6%],0.0246,89.71,know
41,GCA_000169235,GCA_013301385,87.4,[84.8 - 89.5%],0.015,94.81,know
41,GCA_000169235,GCA_013301415,87.7,[85.1 - 89.8%],0.0147,94.93,know
41,GCA_000169235,GCA_013304595,84.9,[82.2 - 87.3%],0.0177,93.67,know
41,GCA_000169235,GCA_900290215,78.7,[75.7 - 81.3%],0.025,89.48,know
41,GCA_000169235,GCA_902167765,80,[77.1 - 82.6%],0.0234,90.59,know
41,GCA_000169235,OM02-12,78.7,[75.8 - 81.4%],0.0248,89.56,know
41,GCA_000169235,OM03-2,86.2,[83.5 - 88.4%],0.0163,94.28,know
41,GCA_000169235,TF09-3,79.8,[76.9 - 82.5%],0.0235,90.46,know
41,GCA_000169235,TF11-11,79.3,[76.4 - 82%],0.0241,90.05,know
41,GCA_000169235,TF12-1,87.9,[85.4 - 90%],0.0144,95.02,know
41,GCA_000169235,TM05-5,88.5,[86 - 90.5%],0.0138,95.24,know
41,GCA_000169235,TM09-16AC,80.3,[77.4 - 82.9%],0.023,90.83,know
41,GCA_000169235,TM09-19AC,80.4,[77.5 - 83%],0.0229,90.88,know
48,14207_7_45,18048_1_69,78.2,[75.2 - 80.9%],0.0255,89.09,novel
48,14207_7_45,18048_2_69,78.3,[75.3 - 81%],0.0254,89.13,novel
48,14207_7_45,AF16-15,75.9,[72.9 - 78.6%],0.0284,86.75,novel
48,14207_7_45,AF36-19BH,77.2,[74.2 - 79.9%],0.0268,88.1,novel
48,14207_7_45,AM46-4BH,76.9,[74 - 79.7%],0.027,87.88,novel
48,14207_7_45,TM09-10,76.4,[73.4 - 79.2%],0.0277,87.35,novel
42,GCA_902167965,13470_2_89,70.1,[67.1 - 73%],0.0359,78.59,novel
42,GCA_902167965,21673_4_71,70.9,[67.9 - 73.8%],0.0348,79.93,novel
42,GCA_902167965,245014.3,70.6,[67.6 - 73.4%],0.0353,79.33,novel
42,GCA_902167965,AF02-42,68.2,[65.2 - 71%],0.0387,74.73,novel
42,GCA_902167965,AF28-12,68.6,[65.6 - 71.4%],0.0381,75.65,novel
42,GCA_902167965,AF36-10,68.7,[65.7 - 71.5%],0.038,75.74,novel
42,GCA_902167965,AF55-24LNA,69.3,[66.3 - 72.2%],0.037,77.09,novel
42,GCA_902167965,AF58-5ACA,68.9,[66 - 71.8%],0.0376,76.33,novel
42,GCA_902167965,AF66-18pH10TA,69,[66 - 71.9%],0.0375,76.51,novel
42,GCA_902167965,AF90S-19M2BA,70,[67 - 72.8%],0.0361,78.34,novel
42,GCA_902167965,AF92-12TA,70.5,[67.5 - 73.3%],0.0355,79.16,novel
42,GCA_902167965,AF96-08pH9A,69.4,[66.4 - 72.2%],0.037,77.15,novel
42,GCA_902167965,AF96-09pH9TA,69.2,[66.2 - 72.1%],0.0372,76.85,novel
42,GCA_902167965,AF97-08DTA,68.6,[65.6 - 71.4%],0.0381,75.63,novel
42,GCA_902167965,AM10-3A,70,[67 - 72.8%],0.0361,78.31,novel
42,GCA_902167965,AM25-23AC,69.3,[66.3 - 72.1%],0.0371,76.96,novel
42,GCA_902167965,AM34-11AC,70,[67 - 72.9%],0.0361,78.38,novel
42,GCA_902167965,AM88-24TA,68.9,[65.9 - 71.7%],0.0376,76.25,novel
42,GCA_902167965,AM97-56,68.7,[65.8 - 71.6%],0.0379,75.94,novel
42,GCA_902167965,AM100_B9A,69.3,[66.3 - 72.1%],0.0371,77.02,novel
42,GCA_902167965,AM100_BB17A,69.3,[66.3 - 72.1%],0.0372,76.93,novel
42,GCA_902167965,IF01-08pH9TA,69.2,[66.2 - 72%],0.0373,76.74,novel
42,GCA_902167965,OF05-3,69.1,[66.1 - 71.9%],0.0374,76.55,novel
42,GCA_902167965,OF11-28,69.4,[66.4 - 72.2%],0.037,77.2,novel
42,GCA_902167965,TF01-6,68.5,[65.5 - 71.3%],0.0382,75.43,novel
44,13470_2_92,18048_1_81,82.2,[79.4 - 84.7%],0.0208,92.14,novel
44,13470_2_92,18048_1_87,82.1,[79.3 - 84.7%],0.0209,92.1,novel
44,13470_2_92,18048_2_81,82.2,[79.3 - 84.7%],0.0208,92.12,novel
44,13470_2_92,18048_2_87,82.2,[79.3 - 84.7%],0.0208,92.14,novel
44,13470_2_92,AF34-10BH,79.6,[76.7 - 82.3%],0.0238,90.27,novel
44,13470_2_92,AF36-18BH,74.1,[71.1 - 76.9%],0.0306,84.62,novel
44,13470_2_92,AF46-9NS,75.6,[72.6 - 78.4%],0.0287,86.43,novel
44,13470_2_92,AF46-12NS,75.5,[72.5 - 78.3%],0.0288,86.32,novel
44,13470_2_92,AM34-9AC,77.3,[74.3 - 80%],0.0266,88.23,novel
44,13470_2_92,GCA_003584705,77.1,[74.1 - 79.8%],0.0268,88.04,novel
44,13470_2_92,TF08-15,76.7,[73.7 - 79.4%],0.0273,87.63,novel
44,13470_2_92,TM11-1A,79.7,[76.7 - 82.3%],0.0237,90.33,novel
43,OM07-11,13470_2_90,67.3,[64.4 - 70.2%],0.0399,72.96,novel
43,OM07-11,20287_6_33,68,[65 - 70.8%],0.039,74.33,novel
43,OM07-11,AM31-12AC,73.1,[70 - 75.9%],0.032,83.23,novel
43,OM07-11,AM41-5BH,88.5,[86 - 90.6%],0.0138,95.25,novel
43,OM07-11,AM43-11BH,74,[70.9 - 76.8%],0.0308,84.45,novel
43,OM07-11,AM62-08pH9A,86.7,[84.1 - 89%],0.0157,94.54,novel
43,OM07-11,AM65-26MHA,69.9,[66.9 - 72.7%],0.0363,78.07,novel
43,OM07-11,AM90-07GAA,87.2,[84.6 - 89.4%],0.0152,94.74,novel
43,OM07-11,BF3HA05005,86.9,[84.3 - 89.2%],0.0155,94.63,novel
43,OM07-11,GCA_004299205,87.1,[84.5 - 89.3%],0.0153,94.69,novel
43,OM07-11,GF3HA05002,87.1,[84.5 - 89.3%],0.0153,94.68,novel
43,OM07-11,LG101-08,86.5,[83.9 - 88.7%],0.016,94.43,novel
49,GCA_900209925,14207_7_87,76.5,[73.5 - 79.2%],0.0276,87.4,know
49,GCA_900209925,GCA_009697165,83.3,[80.5 - 85.8%],0.0195,92.83,know
51,AF25-13AC,1715004.3,63.5,[60.6 - 66.3%],0.0458,63.14,novel
51,AF25-13AC,GCA_900066985,71.5,[68.4 - 74.3%],0.0341,80.82,novel
50,1519438.3,GCA_016899555,80.9,[78 - 83.5%],0.0223,91.26,novel
50,1519438.3,GCA_016899835,80.9,[78 - 83.5%],0.0223,91.26,novel
50,1519438.3,GCA_016900595,83,[80.2 - 85.5%],0.0198,92.65,novel
52,GCA_000174195,18048_1_58,80.1,[77.2 - 82.7%],0.0233,90.65,know
52,GCA_000174195,18048_2_58,80.2,[77.3 - 82.8%],0.0231,90.73,know
52,GCA_000174195,AF21-31,78.8,[75.8 - 81.5%],0.0248,89.58,know
52,GCA_000174195,AF24-4,78.8,[75.9 - 81.5%],0.0247,89.64,know
52,GCA_000174195,AF28-15,79.5,[76.6 - 82.2%],0.0239,90.21,know
52,GCA_000174195,AM23-23AC,73,[70 - 75.8%],0.0321,83.12,know
52,GCA_000174195,AM27-11,78.7,[75.7 - 81.4%],0.0249,89.52,know
52,GCA_000174195,AM32-8LB,78.6,[75.6 - 81.3%],0.0251,89.41,know
52,GCA_000174195,AM42-1AC,77,[74 - 79.8%],0.0269,87.98,know
52,GCA_000174195,GCA_001405535,79.4,[76.4 - 82%],0.0241,90.07,know
52,GCA_000174195,GCA_001406675,78.4,[75.4 - 81.1%],0.0253,89.25,know
52,GCA_000174195,GCA_001406855,81,[78.1 - 83.6%],0.0222,91.34,know
54,AM23-16LB,18048_1_84,78.7,[75.7 - 81.4%],0.0249,89.52,novel
54,AM23-16LB,18048_2_84,78.8,[75.8 - 81.4%],0.0248,89.57,novel
54,AM23-16LB,21673_4_3,77.1,[74.2 - 79.9%],0.0268,88.09,novel
54,AM23-16LB,AF18-31LB,93.1,[91.2 - 94.6%],0.0087,96.73,novel
54,AM23-16LB,AF29-16BH,79.2,[76.2 - 81.8%],0.0243,89.93,novel
54,AM23-16LB,AF31-3BH,79.1,[76.1 - 81.8%],0.0244,89.85,novel
54,AM23-16LB,AF42-6,79.5,[76.6 - 82.2%],0.0239,90.22,novel
54,AM23-16LB,AF90S-01pH9BA,79.3,[76.3 - 81.9%],0.0242,90,novel
54,AM23-16LB,AF97-11M2TA,90.8,[88.6 - 92.6%],0.0113,96.05,novel
54,AM23-16LB,AM27-36LB,91.2,[89.1 - 93%],0.0108,96.19,novel
54,AM23-16LB,OF09-1,92.2,[90.2 - 93.9%],0.0097,96.48,novel
53,AF16-5,18048_1_63,81.6,[78.7 - 84.2%],0.0215,91.74,know
53,AF16-5,18048_2_63,81.6,[78.7 - 84.2%],0.0215,91.75,know
53,AF16-5,AF16-22,85.7,[83.1 - 88%],0.0168,94.09,know
53,AF16-5,AF19-8AC,83.6,[80.8 - 86.1%],0.0192,92.99,know
53,AF16-5,AF38-1,81.4,[78.5 - 84%],0.0217,91.59,know
53,AF16-5,AF99-32,80.4,[77.5 - 83%],0.0229,90.87,know
53,AF16-5,AM14-16,83.5,[80.7 - 85.9%],0.0194,92.9,know
53,AF16-5,GCA_001404315,84.9,[82.2 - 87.3%],0.0177,93.67,know
53,AF16-5,GCA_001404675,84,[81.2 - 86.4%],0.0188,93.19,know
53,AF16-5,GCA_001405115,83.3,[80.5 - 85.8%],0.0195,92.83,know
53,AF16-5,GCA_001406175,81.6,[78.7 - 84.2%],0.0215,91.74,know
53,AF16-5,GCA_009875795,82.5,[79.7 - 85.1%],0.0204,92.35,know
53,AF16-5,GCA_009875825,82.8,[80 - 85.3%],0.0201,92.5,know
53,AF16-5,GCA_013301435,86,[83.3 - 88.3%],0.0165,94.2,know
53,AF16-5,GCA_016586415,81.6,[78.8 - 84.2%],0.0214,91.77,know
53,AF16-5,OM06-25,85.6,[82.9 - 87.9%],0.017,94.01,know
53,AF16-5,OM06-34AC,85.9,[83.2 - 88.2%],0.0167,94.15,know
53,AF16-5,TF11-13,82.6,[79.7 - 85.1%],0.0204,92.37,know
100,AM40-2BH,AM23-2LB,99.6,[99.3 - 99.7%],0.0009,98.19,know
100,AM40-2BH,GCA_000218385,85.7,[83 - 88%],0.0168,94.07,know
100,AM40-2BH,GCA_001311035,83.3,[80.5 - 85.8%],0.0195,92.82,know
100,AM40-2BH,GCA_015560805,86.7,[84.1 - 88.9%],0.0157,94.53,know
101,GCA_000218425,AM05-22,94.6,[92.9 - 95.9%],0.0071,97.11,know
101,GCA_000218425,AM07-30,94.5,[92.8 - 95.8%],0.0072,97.09,know
102,AF33-12,AF13-14A,88,[85.5 - 90.1%],0.0143,95.07,know
102,AF33-12,AF19-16AC,87.4,[84.8 - 89.6%],0.015,94.82,know
102,AF33-12,AF24-23LB,89.4,[87 - 91.4%],0.0128,95.59,know
102,AF33-12,AF27-4BH,85.4,[82.7 - 87.8%],0.0171,93.95,know
102,AF33-12,AF34-4BH,89.7,[87.4 - 91.7%],0.0124,95.7,know
102,AF33-12,AM10-1A,88.7,[86.3 - 90.8%],0.0135,95.35,know
102,AF33-12,AM12-54,89.3,[86.9 - 91.3%],0.0129,95.55,know
102,AF33-12,AM13-39,89.3,[86.9 - 91.3%],0.0129,95.55,know
102,AF33-12,AM17-51,87.6,[85 - 89.7%],0.0148,94.9,know
102,AF33-12,AM21-18,85.5,[82.8 - 87.9%],0.017,93.99,know
102,AF33-12,AM21-41,85.7,[83 - 88%],0.0169,94.06,know
102,AF33-12,AM22-7AC,89.1,[86.7 - 91.1%],0.0131,95.48,know
102,AF33-12,AM25-19,77.3,[74.3 - 80%],0.0266,88.22,know
102,AF33-12,AM25-21,77.3,[74.3 - 80.1%],0.0266,88.26,know
102,AF33-12,AM27-32,89.9,[87.6 - 91.9%],0.0122,95.78,know
102,AF33-12,AM32-6,88.5,[86.1 - 90.6%],0.0137,95.28,know
102,AF33-12,AM38-12,79.6,[76.7 - 82.3%],0.0238,90.29,know
102,AF33-12,AM51-4BH,87.7,[85.1 - 89.8%],0.0147,94.94,know
102,AF33-12,AM97-54,86.9,[84.3 - 89.1%],0.0156,94.6,know
102,AF33-12,GCA_000218465,89.1,[86.7 - 91.1%],0.0131,95.47,know
102,AF33-12,TF01-20-2,85.5,[82.8 - 87.9%],0.017,93.99,know
102,AF33-12,TM04-16,88.3,[85.8 - 90.4%],0.014,95.17,know
102,AF33-12,TM07-2AC,88.8,[86.4 - 90.8%],0.0134,95.37,know
103,AM53-7BH,AF22-12AC,83.8,[81 - 86.2%],0.019,93.08,know
103,AM53-7BH,GCA_000225345,78.8,[75.8 - 81.5%],0.0248,89.59,know
105,GCA_000238055,GCA_000277505,97,[95.9 - 97.9%],0.0043,97.65,know
107,GCA_003862485,GCA_000242315,65.6,[62.6 - 68.4%],0.0425,68.81,know
107,GCA_003862485,GCA_001552975,65.1,[62.2 - 68%],0.0432,67.65,know
109,GCA_000296385,GCA_000512995,74.3,[71.3 - 77.1%],0.0303,84.95,novel
110,GCA_003885045,GCA_000364245,78.1,[75.1 - 80.8%],0.0257,88.95,know
110,GCA_003885045,GCA_010208005,78,[75 - 80.7%],0.0258,88.88,know
113,GCA_000403295,GCA_009911275,86.2,[83.6 - 88.5%],0.0163,94.31,novel
120,GCA_900104155,GCA_000420905,71.7,[68.7 - 74.5%],0.0338,81.18,novel
120,GCA_900104155,GCA_000424485,71.4,[68.4 - 74.3%],0.0342,80.76,novel
120,GCA_900104155,GCA_900109475,70.6,[67.6 - 73.5%],0.0353,79.42,novel
121,GCA_000420925,GCA_000687675,66.3,[63.4 - 69.2%],0.0414,70.68,novel
123,GCA_900111185,GCA_000420965,69.7,[66.7 - 72.5%],0.0366,77.73,know
123,GCA_900111185,GCA_000420985,74.4,[71.4 - 77.2%],0.0302,85.02,know
123,GCA_900111185,GCA_000423985,74,[71 - 76.8%],0.0308,84.48,know
123,GCA_900111185,GCA_000424405,74.4,[71.4 - 77.2%],0.0302,85.04,know
123,GCA_900111185,GCA_000424425,70,[67 - 72.8%],0.0361,78.3,know
123,GCA_900111185,GCA_000424565,75.8,[72.8 - 78.6%],0.0284,86.69,know
123,GCA_900111185,GCA_003175155,70,[67 - 72.8%],0.0361,78.33,know
123,GCA_900111185,GCA_900110805,69.5,[66.5 - 72.3%],0.0368,77.41,know
124,GCA_000622065,GCA_000421025,94.8,[93.2 - 96.1%],0.0069,97.16,know
124,GCA_000622065,GCA_900111325,92.3,[90.3 - 94%],0.0096,96.52,know
126,GCA_000423965,GCA_000421405,60.5,[57.6 - 63.3%],0.0508,53.98,novel
126,GCA_000423965,GCA_000424525,60.6,[57.7 - 63.4%],0.0506,54.28,novel
128,GCA_000424125,GCA_000423945,86.9,[84.3 - 89.1%],0.0155,94.61,novel
129,GCA_000424005,GCA_900103015,80.6,[77.7 - 83.2%],0.0227,91.02,know
